RSECTION	DISTRICT	CO	ID_PREFIX	ID_RTE_NO	MUNICIPALITY	MP_SUFFIX	EXIT_NUMBER	RAMP_NUMBER	D	IS_INV_DIR	BEGIN_DIR_MP	END_DIR_MP	ROAD_NAME_START	BEGIN_DESCRIPTION	END_DESCRIPTION	SECTION_LENGTH	COLL_CATEGORY	PRIORITY	GOVT_CONTROL	NHS_CODE	INV_BMP	INV_EMP	BEG_LAT	BEG_LONG	END_LAT	END_LONG	GLOBAL_ROUTE_ID	SUB_ROUTE_ID	ROUTE	TRIMROUTE	ROUTEID	MULTIPLE_BEG_INT	MULTIPLE_END_INT	RVISIKEY	ASSOCIATED_ID_PREFIX	FDIR	BEGIN_SECTION_DESC	BEGIN_SECTION_MILE_POINT	END_SECTION_DESC	END_SECTION_MILE_POINT	COLLECTION_YEAR
47611	6	AL	CO	518	0				W	1	0.34	1.6	PITTSBURGH PLATE GLASS RD		BURBRIDGE RD (AHEAD)	1.26	2	5	2	0	0.34	1.6	39.5885952	-78.7396783	39.5957737	-78.7539987	476	1	CO 518	CO 518	01000CO00518  01WW**************		1	11	CO	5	END BRIDGE	0.26			2016
53511	6	AL	CO	584	0				S	1	0	1.37	N ORLEANS RD	PENNSYLVANIA ST/L	NATIONAL PIKE	1.37	2	5	2	0	0	1.37	39.7225812	-78.3669833	39.705915	-78.376786	535	1	CO 584	CO 584	01000CO00584  01SS**************	1	1	12	CO	5					2016
62011	6	AL	CO	681	0				E	1	0	1.4	CABIN RUN RD	UPPER GEORGES CREEK RD	VALE SUMMIT RD (AHEAD)	1.4	2	5	2	0	0	1.4	39.6231515	-78.937725	39.6197195	-78.9156658	620	1	CO 681	CO 681	01000CO00681  01EE**************	1	1	13	CO	5					2016
63511	6	AL	CO	699	0				N	1	0	0.49	WELSH HILL RD	UPPER GEORGES CREEK RD	WELSH HILL RD (AHEAD)	0.49	2	5	2	0	0	0.49	39.6394082	-78.9291412	39.6461104	-78.9290274	635	1	CO 699	CO 699	01000CO00699  01NN**************	1	1	14	CO	5					2016
67611	6	AL	CO	743	0				S	1	0.8	0.92	OPESSA ST	OLDTOWN CEMETERY RD	GREEN SPRING RD	0.12	2	5	2	0	0.8	0.92	39.5419409	-78.6136895	39.5417151	-78.6114921	676	1	CO 743	CO 743	01000CO00743  01SS**************	0	0	15	CO	5	SPEED LIMIT 25 MPH	0.673	BASEBALL DIAMOND	0.958	2016
76011	6	AL	CO	846	0				W	1	0	0.98	CHERRY LA	HOFFMAN HOLLOW RD (BACK)	UPPER GEORGES CREEK RD	0.98	2	5	2	0	0	0.98	39.6361073	-78.9176904	39.6393439	-78.9291735	760	1	CO 846	CO 846	01000CO00846  01WW**************	1	1	16	CO	5					2016
76211	6	AL	CO	848	0				N	1	0	3.75	MURLEYS BRANCH RD	WILLIAMS RD (BACK)	OLD NATIONAL PIKE	3.75	2	5	2	0	0	3.75	39.6638505	-78.6112747	39.7033185	-78.5680992	762	1	CO 848	CO 848	01000CO00848  01NN**************	1	1	17	CO	5					2016
80111	6	AL	CO	889	0				E	1	0	0.34	WILLIAMS RD	WILLIAMS ST #1 (BACK)		0.34	2	5	2	0	0	0.34	39.646314	-78.741141	39.6446817	-78.7353417	801	1	CO 889	CO 889	01000CO00889  01EE**************	1		18	CO	5					2016
80511	6	AL	IS	68	0				E	1	0	40.79	NATIONAL FREEWAY	GARRETT CO/L	WASHINGTON CO/L	40.79	5	1	1	1	0	40.79	39.6658732	-78.9611358	39.7033214	-78.3213486	805	1	IS 68	IS 68	01000IS00068  01EE**************	1	1	19	IS	5					2016
80521	6	AL	IS	68	0				W	0	0	40.79	NATIONAL FREEWAY	WASHINGTON CO/L	GARRETT CO/L	40.79	3	3	1	1	0	40.79	39.7036853	-78.3217296	39.6659543	-78.9608645	805	2	IS 68	IS 68	01000IS00068  01EW**************	1	1	20	IS	6					2016
80611	6	AL	MD	35	0				N	1	0	2.37	ELLERSLIE RD	MT SAVAGE RD	PENNSYLVANIA ST/L	2.37	5	1	1	1	0	2.37	39.6928891	-78.7906096	39.7230142	-78.7745742	806	1	MD 35	MD 35	01000MD00035  01NN**************	1	1	21	MD	5					2016
80621	6	AL	MD	35	0				S	0	0	2.37	ELLERSLIE RD	PENNSYLVANIA ST/L	MT SAVAGE RD	2.37	3	3	1	1	0	2.37	39.723014	-78.774574	39.6929516	-78.7906806	806	2	MD 35	MD 35	01000MD00035  01NS**************	1	1	22	MD	6					2016
80711	6	AL	MD	36	0				N	1	0	15.05	NEW GEORGES CREEK RD	WEST VIRGINIA ST/L	EXIT #34	15.05	7	1	1	1	0	15.05	39.483263	-79.047084	39.6326917	-78.9176756	807	1	MD 36	MD 36	01000MD00036  01NN**************	1	1	23	MD	5					2016
80712	6	AL	MD	36	0				N	1	15.05	16.53	NEW GEORGES CREEK RD	EXIT #34	NATIONAL PIKE	1.48	5	1	1	1	15.05	16.53	39.6326917	-78.9176756	39.6512575	-78.9112592	807	1	MD 36	MD 36	01000MD00036  01NN**************	1	1	24	MD	5					2016
80713	6	AL	MD	36	0				N	1	17.6	27.34	N WATER ST	MAIN ST	ELLERSLIE RD	9.74	7	1	1	1	17.6	27.34	39.6578274	-78.9287436	39.6928891	-78.7906096	807	1	MD 36	MD 36	01000MD00036  01NN**************	1	0	25	MD	5					2016
80714	6	AL	MD	36	0				N	1	27.34	29.43	MT SAVAGE RD	ELLERSLIE RD	NATIONAL HWY	2.09	5	1	1	1	27.34	29.43	39.6928891	-78.7906096	39.6701941	-78.7902717	807	1	MD 36	MD 36	01000MD00036  01NN**************	0	1	26	MD	5					2016
80721	6	AL	MD	36	0				S	0	0	11.83	MT SAVAGE RD	NATIONAL HWY	MAIN ST	11.83	3	3	1	1	17.607	29.43	39.6701941	-78.7902717	39.6578274	-78.9287436	807	2	MD 36	MD 36	01000MD00036  01NS**************	1	1	27	MD	6					2016
80722	6	AL	MD	36	0				S	0	12.9	29.43	NEW GEORGES CREEK RD	NATIONAL PIKE	WEST VIRGINIA ST/L	16.53	3	3	1	1	0	16.489	39.6511282	-78.9124238	39.483263	-79.047084	807	2	MD 36	MD 36	01000MD00036  01NS**************	1	1	28	MD	6					2016
80811	6	AL	MD	36	0	B 			N	1	0	0.03	NO NAME	MT SAVAGE RD	ROAD END	0.03	8	4	1	0	0	0.03	39.7016723	-78.8348738	39.7022078	-78.8349465	808	1	MD 36 B	MD 36 B	01000MD00036B 04NN**************	1	1	29	MD	5					2016
80821	6	AL	MD	36	0	B 			S	0	0	0.03	NO NAME	ROAD END	MT SAVAGE RD	0.03	8	4	1	0	0	0.03	39.7022078	-78.8349465	39.7016723	-78.8348738	808	2	MD 36 B	MD 36 B	01000MD00036B 04NS**************	1	1	30	MD	6					2016
80911	6	AL	MD	36	0	C 			N	1	0	0.03	HOMEWOOD ST	STOP SIGN	HOMEWOOD ST (AHEAD)	0.03	8	4	1	0	0	0.03	39.6827352	-78.785593	39.6830318	-78.7857995	809	1	MD 36 C	MD 36 C	01000MD00036C 04NN**************	1	1	31	MD	5					2016
80921	6	AL	MD	36	0	C 			S	0	0	0.03	HOMEWOOD ST	HOMEWOOD ST (AHEAD)	MT SAVAGE RD	0.03	8	4	1	0	0	0.03	39.6830496	-78.785779	39.6827352	-78.785593	809	2	MD 36 C	MD 36 C	01000MD00036C 04NS**************	1	1	32	MD	6					2016
81011	6	AL	MD	47	0				N	1	0	1.67	BARRELVILLE RD	MT SAVAGE RD	PENNSYLVANIA ST/L	1.67	7	1	1	0	0	1.67	39.7007171	-78.8425469	39.7230391	-78.8454317	810	1	MD 47	MD 47	01000MD00047  01NN**************	1	1	33	MD	5					2016
81021	6	AL	MD	47	0				S	0	0.03	1.7	BARRELVILLE RD	PENNSYLVANIA ST/L	MT SAVAGE RD	1.67	3	3	1	0	0.03	1.7	39.7230391	-78.8454317	39.7007044	-78.8425116	810	2	MD 47	MD 47	01000MD00047  01NS**************	1	1	34	MD	6					2016
81111	6	AL	MD	49	0				E	1	0	1.02	BRADDOCK RD	CAMPGROUND RD	BRADDOCK RD (AHEAD)	1.02	7	1	1	0	0	1.02	39.6362314	-78.8292071	39.6418393	-78.8125618	811	1	MD 49	MD 49	01000MD00049  01EE**************	1	1	35	MD	5					2016
81121	6	AL	MD	49	0				W	0	0	1.02	BRADDOCK RD	BRADDOCK RD (AHEAD)	CAMPGROUND RD	1.02	3	3	1	0	0	1.02	39.6418567	-78.8125459	39.636226	-78.8292298	811	2	MD 49	MD 49	01000MD00049  01EW**************	1	1	36	MD	6					2016
81211	6	AL	MD	51	0				E	1	0	5.63	INDUSTRIAL BLVD	EXIT #43B	PITTSBURGH PLATE GLASS RD	5.63	5	1	1	1	0	5.63	39.648835	-78.76127	39.5899056	-78.7334679	812	1	MD 51	MD 51	01000MD00051  01EE**************	1	1	37	MD	5					2016
81212	6	AL	MD	51	0				E	1	5.63	25.53	OLDTOWN RD	PITTSBURGH PLATE GLASS RD	WEST VIRGINIA ST/L	19.9	7	1	1	1	5.63	25.53	39.5899056	-78.7334679	39.538014	-78.455766	812	1	MD 51	MD 51	01000MD00051  01EE**************	1	1	38	MD	5					2016
81221	6	AL	MD	51	0				W	0	0	25.53	OLDTOWN RD	WEST VIRGINIA ST/L	EXIT #43B	25.53	3	3	1	1	0	25.53	39.538014	-78.455766	39.6488529	-78.7611838	812	2	MD 51	MD 51	01000MD00051  01EW**************	1	1	39	MD	6					2016
81311	6	AL	MD	51	0	A 			N	1	0	0.04	S CENTRE ST	INDUSTRIAL BLVD	S CENTRE ST (AHEAD)	0.04	9	1	1	1	0	0.04	39.6476566	-78.7603912	39.648336	-78.7599349	813	1	MD 51 A	MD 51 A	01000MD00051A 01NN**************	1	1	40	MD	5					2016
81411	6	AL	MD	51	0	D 			S	1	0	0.18	EVITTS CREEK DR	OLDTOWN RD	CUL DE SAC	0.18	8	4	1	0	0	0.18	39.6265148	-78.7365383	39.6245876	-78.7345883	814	1	MD 51 D	MD 51 D	01000MD00051D 01SS**************	1	1	41	MD	5					2016
81421	6	AL	MD	51	0	D 			N	0	0	0.18	EVITTS CREEK DR	CUL DE SAC	MESSICK RD (BACK)	0.18	8	4	1	0	0	0.18	39.6246335	-78.7346151	39.6264957	-78.7364977	814	2	MD 51 D	MD 51 D	01000MD00051D 01SN**************	1	1	42	MD	6					2016
81511	6	AL	MD	51	0	E 			S	1	0	2.24	UHL HWY	OLDTOWN RD	PITTSBURGH PLATE GLASS RD (AHEAD)	2.24	7	1	1	0	0	2.24	39.6189275	-78.7314749	39.5899056	-78.7334679	815	1	MD 51 E	MD 51 E	01000MD00051E 01SS**************	1	1	43	MD	5					2016
81521	6	AL	MD	51	0	E 			N	0	0	2.24	UHL HWY	PITTSBURGH PLATE GLASS RD (AHEAD)	MESSICK RD (BACK)	2.24	3	3	1	0	0	2.24	39.5899056	-78.7334679	39.6188389	-78.7315051	815	2	MD 51 E	MD 51 E	01000MD00051E 01SN**************	1	1	44	MD	6					2016
81611	6	AL	MD	51	0	F 			N	1	0.23	0.33	BLUE VALLEY RD	BLUE VALLEY RD (BACK)	STOP SIGN	0.1	8	4	1	0	0.23	0.33	39.6074729	-78.7333762	39.6074471	-78.733347	816	1	MD 51 F	MD 51 F	01000MD00051F 01NN**************	1	1	45	MD	5					2016
81621	6	AL	MD	51	0	F 			S	0	0	0.1	BLUE VALLEY RD	OLDTOWN RD	BLUE VALLEY RD (BACK)	0.1	8	4	1	0	0	0.1	39.6074471	-78.733347	39.6074729	-78.7333762	816	2	MD 51 F	MD 51 F	01000MD00051F 01NS**************	1	1	46	MD	6					2016
81711	6	AL	MD	53	0				S	1	0	3.33	WINCHESTER RD	NATIONAL PIKE	WINCHESTER RD (AHEAD)	3.33	5	1	1	1	0	3.33	39.6368927	-78.8454745	39.5930513	-78.8338725	817	1	MD 53	MD 53	01000MD00053  01SS**************	1	1	47	MD	5					2016
81721	6	AL	MD	53	0				N	0	0.09	3.33	WINCHESTER RD	BRANT RD	NATIONAL PIKE	3.24	3	3	1	1	0.09	3.33	39.5945257	-78.8347249	39.6368945	-78.8453053	817	2	MD 53	MD 53	01000MD00053  01SN**************	0	1	48	MD	6					2016
81811	6	AL	MD	55	0				E	1	0	2.53	VALE SUMMIT RD	CABIN RUN RD (BACK)	NATIONAL PIKE	2.53	7	1	1	0	0	2.53	39.6197195	-78.9156658	39.6432439	-78.8884355	818	1	MD 55	MD 55	01000MD00055  01EE**************	1	1	49	MD	5					2016
81821	6	AL	MD	55	0				W	0	0	2.53	VALE SUMMIT RD	NATIONAL PIKE	CABIN RUN RD (BACK)	2.53	3	3	1	0	0	2.53	39.6432555	-78.8884599	39.6197403	-78.9156902	818	2	MD 55	MD 55	01000MD00055  01EW**************	1	1	50	MD	6					2016
81911	6	AL	MD	61	0				N	1	0	1.94	CANAL PKWY	WEST VIRGINIA ST/L	INDUSTRIAL BLVD	1.94	7	1	1	0	0	1.94	39.6214349	-78.7737783	39.6461517	-78.7615796	819	1	MD 61	MD 61	01000MD00061  01NN**************	1	1	51	MD	5					2016
81921	6	AL	MD	61	0				S	0	0	1.94	CANAL PKWY	INDUSTRIAL BLVD	WEST VIRGINIA ST/L	1.94	3	3	1	0	0	1.94	39.6455622	-78.7624636	39.6213374	-78.7738986	819	2	MD 61	MD 61	01000MD00061  01NS**************	1	1	52	MD	6					2016
82011	6	AL	MD	135	0				E	1	0	7.13	PRATT ST	GARRETT CO/L	QUEENS POINT RD (AHEAD)	7.13	7	1	1	0	0	7.13	39.48085	-79.066766	39.4461209	-78.9714099	820	1	MD 135	MD 135	01000MD00135  01EE**************	1	1	53	MD	5					2016
82021	6	AL	MD	135	0				W	0	0	7.13	QUEENS POINT RD	QUEENS POINT RD (AHEAD)	GARRETT CO/L	7.13	3	3	1	0	0	7.13	39.4461209	-78.9714099	39.48085	-79.066766	820	2	MD 135	MD 135	01000MD00135  01EW**************	1	1	54	MD	6					2016
82111	6	AL	MD	135	0	A 			N	1	0	0.78	CROOKS AVE	MCCOOLE WESTERNPORT RD	MCMULLEN HWY	0.78	2	5	1	0	0	0.78	39.4496674	-78.9783797	39.4585921	-78.9754775	821	1	MD 135 A	MD 135 A	01000MD00135A 01NN**************	1	1	55	MD	5					2016
82121	6	AL	MD	135	0	A 			S	0	0.001	0.78	CROOKS AVE	MCMULLEN HWY	MCCOOLE WESTERNPORT RD	0.779	8	4	1	0	0.001	0.78	39.4585927	-78.975504	39.4496674	-78.9783797	821	2	MD 135 A	MD 135 A	01000MD00135A 01NS**************	1	1	56	MD	6					2016
82211	6	AL	MD	135	0	B 			N	1	0	0.11	PAXTON ST	MCCOOLE WESTERNPORT RD	MCMULLEN HWY	0.11	8	4	1	0	0	0.11	39.4468721	-78.9730545	39.4471731	-78.971629	822	1	MD 135 B	MD 135 B	01000MD00135B 01NN**************	1	1	57	MD	5					2016
82221	6	AL	MD	135	0	B 			S	0	0	0.11	CHESAPEAKE AVE	MCMULLEN HWY	MCCOOLE WESTERNPORT RD	0.11	8	4	1	0	0	0.11	39.4473503	-78.9717318	39.4468721	-78.9730545	822	2	MD 135 B	MD 135 B	01000MD00135B 01NS**************	1	1	58	MD	6					2016
82311	6	AL	MD	135	0	D 			E	1	0	0.02	MASTELLER RD	STOP SIGN	WEST VIRGINIA ST/L	0.02	8	4	1	0	0	0.02	39.4802869	-79.0658602	39.4800894	-79.0661518	823	1	MD 135 D	MD 135 D	01000MD00135D 01EE**************	1	1	59	MD	5					2016
82321	6	AL	MD	135	0	D 			W	0	0	0.02	MASTELLER RD	STRUC #1134 POTOMAC RIVER	PRATT ST	0.02	8	4	1	0	0	0.02	39.4800539	-79.0661427	39.4802343	-79.0658588	823	2	MD 135 D	MD 135 D	01000MD00135D 01EW**************	1	1	60	MD	6					2016
82411	6	AL	MD	144	0				E	1	0	17.55	NAVES CROSS RD	BEDFORD RD	NATIONAL PIKE	17.55	7	1	1	0	0	17.55	39.6785111	-78.7366121	39.6771333	-78.4581488	824	1	MD 144	MD 144	01000MD00144  01EE**************	1	1	61	MD	5					2016
82421	6	AL	MD	144	0				W	0	0	17.55	OLD NATIONAL PIKE	NATIONAL PIKE	BEDFORD RD	17.55	3	3	1	0	0	17.55	39.6771429	-78.4581576	39.6784936	-78.7366603	824	2	MD 144	MD 144	01000MD00144  01EW**************	1	1	62	MD	6					2016
82511	6	AL	MD	144	0	AE			E	1	0	2.53	GILPIN RD	TOWN CREEK RD	OLD NATIONAL PIKE	2.53	7	1	1	0	0	2.53	39.6977616	-78.5601703	39.6956487	-78.5207784	825	1	MD 144 AE	MD 144 AE	01000MD00144AE01EE**************	1	1	63	MD	5					2016
82521	6	AL	MD	144	0	AE			W	0	0	2.53	GILPIN RD	OLD NATIONAL PIKE	BEDFORD RD	2.53	3	3	1	0	0	2.53	39.6956485	-78.5207849	39.6977616	-78.5601703	825	2	MD 144 AE	MD 144 AE	01000MD00144AE01EW**************	1	1	64	MD	6					2016
82611	6	AL	MD	144	0	AL			E	1	0	0.08	NO NAME	ROAD END	STOP SIGN	0.08	8	4	1	0	0	0.08	39.7059601	-78.3404505	39.7063239	-78.3394647	826	1	MD 144 AL	MD 144 AL	01000MD00144AL01EE**************	1	1	65	MD	5					2016
82621	6	AL	MD	144	0	AL			W	0	0	0.08	NO NAME	NATIONAL PIKE	ROAD END	0.08	8	4	1	0	0	0.08	39.7063196	-78.3394493	39.7058934	-78.3406689	826	2	MD 144 AL	MD 144 AL	01000MD00144AL01EW**************	1	1	66	MD	6					2016
82711	6	AL	MD	636	0				E	1	0	0.28	WARRIOR DR	WINCHESTER RD	MCMULLEN HWY	0.28	9	1	1	1	0	0.28	39.5958494	-78.8345812	39.595409	-78.8293	827	1	MD 636	MD 636	01000MD00636  01EE**************	1	1	67	MD	5					2016
82721	6	AL	MD	636	0				W	0	0	0.28	WARRIOR DR	MCMULLEN HWY	WINCHESTER RD	0.28	9	1	1	1	0	0.28	39.5953944	-78.8295025	39.5957743	-78.8345195	827	2	MD 636	MD 636	01000MD00636  01EW**************	1	1	68	MD	6					2016
82811	6	AL	MD	638	0				N	1	0	2.34	PARKERSBURG RD	OLD NATIONAL PIKE	MT SAVAGE RD	2.34	7	1	1	0	0	2.34	39.6498809	-78.8953176	39.6773774	-78.8962076	828	1	MD 638	MD 638	01000MD00638  01NN**************	1	1	69	MD	5					2016
82821	6	AL	MD	638	0				S	0	0	2.34	PARKERSBURG RD	MT SAVAGE RD	OLD NATIONAL PIKE	2.34	3	3	1	0	0	2.34	39.6773774	-78.8962076	39.6498809	-78.8953176	828	2	MD 638	MD 638	01000MD00638  01NS**************	1	1	70	MD	6					2016
82911	6	AL	MD	639	0				S	1	0	2.79	WILLOWBROOK RD	EXIT #44	EVITTS CREEK DR (BACK)	2.79	7	1	1	0	0	2.79	39.6569216	-78.748106	39.6264957	-78.7364977	829	1	MD 639	MD 639	01000MD00639  01SS**************	1	1	71	MD	5					2016
82921	6	AL	MD	639	0				N	0	0	2.79	MESSICK RD	EVITTS CREEK DR (BACK)	EXIT #44	2.79	3	3	1	0	0	2.79	39.6264957	-78.7364977	39.6570096	-78.7480549	829	2	MD 639	MD 639	01000MD00639  01SN**************	1	1	72	MD	6					2016
83011	6	AL	MD	639	0	A 			N	1	0	0.26	NO NAME	STOP SIGN	ENT TO PARKING LOT	0.26	8	4	1	0	0	0.26	39.6496793	-78.7323235	39.6510193	-78.7303844	830	1	MD 639 A	MD 639 A	01000MD00639A 01NN**************	1	1	73	MD	5					2016
83021	6	AL	MD	639	0	A 			S	0	0.07	0.26	NO NAME	ENT TO PARKING	STOP SIGN	0.19	8	4	1	0	0.07	0.26	39.651181	-78.729482	39.6496793	-78.7323235	830	2	MD 639 A	MD 639 A	01000MD00639A 01NS**************	0	1	74	MD	6					2016
83111	6	AL	MD	639	0	B 			N	1	0	0.06	COUNTRY CLUB RD	STOP SIGN	OLD WILLOWBROOK RD	0.06	8	4	1	0	0	0.06	39.6530656	-78.7392361	39.6539136	-78.7388888	831	1	MD 639 B	MD 639 B	01000MD00639B 01NN**************	1	1	75	MD	5					2016
83121	6	AL	MD	639	0	B 			S	0	0	0.06	COUNTRY CLUB RD	COUNTRY CLUB RD (AHEAD)	STOP SIGN	0.06	8	4	1	0	0	0.06	39.6539136	-78.7388888	39.6531018	-78.7392522	831	2	MD 639 B	MD 639 B	01000MD00639B 01NS**************	1	1	76	MD	6					2016
83311	6	AL	MD	658	0				N	1	0	0.84	VOCKE RD	WINCHESTER RD	NATIONAL HWY	0.84	9	1	1	1	0	0.84	39.6306691	-78.8374653	39.6389203	-78.8305547	833	1	MD 658	MD 658	01000MD00658  01NN**************	1	1	77	MD	5					2016
83321	6	AL	MD	658	0				S	0	0	0.84	CAMPGROUND RD	NATIONAL HWY	WINCHESTER RD	0.84	9	1	1	1	0	0.84	39.6389203	-78.8305547	39.6308188	-78.8374559	833	2	MD 658	MD 658	01000MD00658  01NS**************	1	1	78	MD	6					2016
83411	6	AL	MD	736	0				S	1	0	1.58	BRADDOCK RD	PARK AVE #2	SHAFT RD	1.58	7	1	1	0	0	1.58	39.6492016	-78.9298951	39.6340844	-78.9502215	834	1	MD 736	MD 736	01000MD00736  01SS**************	1	1	79	MD	5					2016
83421	6	AL	MD	736	0				N	0	0	1.58	MIDLOTHIAN RD	SHAFT RD	PARK AVE #2	1.58	3	3	1	0	0	1.58	39.6340844	-78.9502215	39.6492324	-78.929935	834	2	MD 736	MD 736	01000MD00736  01SN**************	1	1	80	MD	6					2016
83511	6	AL	MD	743	0				E	1	0	1	OLD NATIONAL PIKE	NEW GEORGES CREEK RD	NATIONAL PIKE	1	7	1	1	0	0	1	39.6499333	-78.9105749	39.649494	-78.8939808	835	1	MD 743	MD 743	01000MD00743  01EE**************	1	1	81	MD	5					2016
83521	6	AL	MD	743	0				W	0	0	1	OLD NATIONAL PIKE	NATIONAL PIKE	NEW GEORGES CREEK RD	1	3	3	1	0	0	1	39.649494	-78.8939808	39.6500977	-78.9105051	835	2	MD 743	MD 743	01000MD00743  01EW**************	1	1	82	MD	6					2016
83611	6	AL	MD	807	0				N	1	0	3.52	BEDFORD RD	FREDERICK ST (BACK)	NO NAME	3.52	7	1	1	0	0	3.52	39.6754844	-78.7411594	39.7151352	-78.7033055	836	1	MD 807	MD 807	01000MD00807  01NN**************	1	1	83	MD	5					2016
83621	6	AL	MD	807	0				S	0	0	3.52	BEDFORD RD	NO NAME	FREDERICK ST (BACK)	3.52	3	3	1	0	0	3.52	39.7151352	-78.7033055	39.6760872	-78.7411594	836	2	MD 807	MD 807	01000MD00807  01NS**************	1	1	84	MD	6					2016
83711	6	AL	MD	807	0	A 			E	1	0	0.1	NAVES CROSS RD	CHRISTIE RD	MASON RD	0.1	8	4	1	0	0	0.1	39.6744914	-78.7274111	39.6737181	-78.7258621	837	1	MD 807 A	MD 807 A	01000MD00807A 01EE**************	1	1	85	MD	5					2016
83721	6	AL	MD	807	0	A 			W	0	0	0.1	NAVES CROSS RD	MASON RD	CHRISTIE RD	0.1	8	4	1	0	0	0.1	39.6737475	-78.7257831	39.6745006	-78.7273272	837	2	MD 807 A	MD 807 A	01000MD00807A 01EW**************	1	1	86	MD	6					2016
83811	6	AL	MD	807	0	B 			N	1	0	0.38	BEDFORD RD	STOP SIGN	CUL DE SAC	0.38	8	4	1	0	0	0.38	39.7149374	-78.7053623	39.7201811	-78.7041766	838	1	MD 807 B	MD 807 B	01000MD00807B 01NN**************	1	1	87	MD	5					2016
83821	6	AL	MD	807	0	B 			S	0	0	0.38	BEDFORD RD	CUL DE SAC	BEDFORD RD	0.38	8	4	1	0	0	0.38	39.7198444	-78.7041877	39.7149251	-78.7053416	838	2	MD 807 B	MD 807 B	01000MD00807B 01NS**************	1	1	88	MD	6					2016
